,lr
416,1.935565306084281e-08
417,1.9166141339723378e-08
418,1.8909821831763254e-08
419,1.858861848591072e-08
420,1.820494227292782e-08
421,1.7761673088505373e-08
422,1.7262138136600497e-08
423,1.6710086955252626e-08
424,1.610966327233561e-08
425,1.546537390249833e-08
426,1.478205491875507e-08
427,1.4064835352643749e-08
428,1.3319098695420583e-08
429,1.2550442489265532e-08
430,1.1764636311809214e-08
431,1.0967578469351826e-08
432,1.016525172383729e-08
433,9.363678385898497e-09
434,8.568875111047805e-09
435,7.786807738315188e-09
436,7.0233465103178596e-09
437,6.284222010882008e-09
438,5.574982150951478e-09
439,4.9009505256495914e-09
440,4.267186455068379e-09
441,3.6784470087214095e-09
442,3.1391512987067828e-09
443,2.6533473095979335e-09
444,2.224681514038909e-09
445,1.8563715021112904e-09
446,1.5511818299182203e-09
447,1.3114032686675323e-09
448,1.1388356100114815e-09
449,1.034774156707239e-09
450,1e-09
451,8.0125e-09
452,9.75637000389586e-09
453,9.715315488753728e-09
454,9.641740957343827e-09
455,9.536198664324627e-09
456,9.399480816209272e-09
457,9.232613625018008e-09
458,9.036849605471813e-09
459,8.813658173544966e-09
460,8.564714616944347e-09
461,8.291887520303695e-09
462,7.997224739480023e-09
463,7.682938030229934e-09
464,7.3513864466438916e-09
465,7.0050586339507185e-09
466,6.646554148603576e-09
467,6.2785639458599274e-09
468,5.903850181316817e-09
469,5.52522547801232e-09
470,5.145531814715475e-09
471,4.767619193870421e-09
472,4.394324249314358e-09
473,4.028448954341052e-09
474,3.672739589928352e-09
475,3.329866130995451e-09
476,3.00240220541779e-09
477,2.69280577622841e-09
478,2.4034006920062506e-09
479,2.1363592439352578e-09
480,1.8936858604619833e-09
481,1.6772020619405492e-09
482,1.488532788196247e-09
483,1.3290942016338857e-09
484,1.2000830574414415e-09
485,1.1024677206768858e-09
486,1.036980897664439e-09
487,1.004114136258821e-09
488,2.5531250000000003e-09
489,4.882356848106198e-09
490,4.871431893381706e-09
491,4.846020055328363e-09
492,4.806312076662108e-09
493,4.7526060077514075e-09
494,4.6853049694340765e-09
495,4.604914127169109e-09
496,4.512036899235738e-09
497,4.4073704274411675e-09
498,4.29170034433413e-09
499,4.1658948762018544e-09
500,4.030898326113689e-09
501,3.887723985928023e-09
502,3.737446530465406e-09
503,3.5811939509376172e-09
504,3.420139088180847e-09
505,3.255490829245017e-09
506,3.088485033418152e-09
507,2.9203752557955875e-09
508,2.7524233380234204e-09
509,2.5858899368426473e-09
510,2.422025061527255e-09
511,2.262058691242823e-09
512,2.107191542752259e-09
513,1.9585860577668148e-09
514,1.817357677591841e-09
515,1.6845664705602803e-09
516,1.5612091750988789e-09
517,1.4482117181523065e-09
518,1.3464222651223326e-09
519,1.2566048534896027e-09
520,1.1794336579044315e-09
521,1.1154879297931516e-09
522,1.065247649463644e-09
523,1.029089923345576e-09
524,1.0072861534078827e-09
525,1e-09
526,2.1531250000000005e-09
527,2.4398843722983837e-09
528,2.4331334293004124e-09
529,2.421034943520442e-09
530,2.403679726887606e-09
531,2.3811980486547332e-09
532,2.3537586575898597e-09
533,2.3215675153382797e-09
534,2.284866250462608e-09
535,2.243930344764913e-09
536,2.199067065504485e-09
537,2.1506131590321427e-09
538,2.0989323231527835e-09
539,2.0444124771887682e-09
540,1.987462850235212e-09
541,1.9285109094628878e-09
542,1.867999151525095e-09
543,1.8063817811523643e-09
544,1.7441213018656624e-09
545,1.6816850443984004e-09
546,1.6195416588851093e-09
547,1.5581575971466123e-09
